series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
6408,"""Bungaku Shoujo"" Movie",Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12,0,0,0000-00-00,0000-00-00,,6,,0.00,Watching,,0,,LOW,,0,0,1,default,0
40679,2.43: Seiin Koukou Danshi Volley-bu,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
40148,22/7,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
31646,3-gatsu no Lion,TV,22,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
36793,3D Kanojo: Real Girl,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
38101,5-toubun no Hanayome,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
38735,7 Seeds,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
32998,91 Days,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
39790,Adachi to Shimamura,TV,12,0,0,0000-00-00,0000-00-00,,8,,0.00,Watching,,0,,LOW,,0,0,1,default,0
1292,Afro Samurai,TV,5,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
32977,Aggressive Retsuko,TV,100,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
37403,Ahiru no Sora,TV,50,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34881,Aho Girl,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
101,Air,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
47,Akira,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
36864,Akkun to Kanojo,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
16201,Aku no Hana,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
41433,Akudama Drive,TV,12,0,0,0000-00-00,0000-00-00,,9,,0.00,Watching,,0,,LOW,,0,0,1,default,0
22729,Aldnoah.Zero,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34350,Alice to Zouroku,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
8676,Amagami SS,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
22147,Amagi Brilliant Park,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
42344,"Ame wo Matsu,",Music,1,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
6547,Angel Beats!,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
35834,Angolmois: Genkou Kassenki,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
11433,Ano Natsu de Matteru,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
11111,Another,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
24833,Ansatsu Kyoushitsu,TV,22,0,22,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,ONA,8,0,8,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33513,Ansatsu Kyoushitsu: 365-nichi no Jikan,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
28405,Ansatsu Kyoushitsu: Deai no Jikan,Special,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
21995,Ao Haru Ride,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
9919,Ao no Exorcist,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
28391,Ao no Kanata no Four Rhythm,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
7193,Aoi Bungaku Series,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
40532,Appare-Ranman!,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38753,Araburu Kisetsu no Otome-domo yo.,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
7647,Arakawa Under the Bridge,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
3297,Aria the Origination,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
40128,Arte,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
2402,Ashita no Joe,TV,79,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
37171,Asobi Asobase,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
7817,B-gata H-kei,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
32827,B: The Beginning,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
21185,Baby Steps,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
37525,Babylon,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
2251,Baccano!,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
6347,Baka to Test to Shoukanjuu,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
5081,Bakemonogatari,TV,15,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34443,Baki,ONA,26,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
7674,Bakuman.,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34636,Ballroom e Youkoso,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
36649,Banana Fish,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
22789,Barakamon,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
4094,Batman: Gotham Knight,OVA,6,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
579,Battle Programmer Shirase,TV,15,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
39195,Beastars,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
20787,Black Bullet,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34572,Black Clover,TV,0,0,0,0000-00-00,0000-00-00,,5,,0.00,Watching,,0,,LOW,,0,0,1,default,0
889,Black Lagoon,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34618,Blend S,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
11633,Blood Lad,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
40060,BNA,ONA,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31043,Boku dake ga Inai Machi,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31964,Boku no Hero Academia,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
35712,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
36542,Boku wa Robot-goshi no Kimi ni Koi wo Suru,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
1222,Bokura ga Ita,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
1690,Bokura no,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
21405,Bokura wa Minna Kawai-sou,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
38186,Bokutachi wa Benkyou ga Dekinai,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
34566,Boruto: Naruto Next Generations,TV,0,0,0,0000-00-00,0000-00-00,,4,,0.00,Watching,,0,,LOW,,0,0,1,default,0
28755,Boruto: Naruto the Movie,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14345,Btooom!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
31478,Bungou Stray Dogs,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
41468,Burn the Witch,Movie,3,0,3,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1689,Byousoku 5 Centimeter,Movie,3,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
5356,Canaan,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
388,Capeta,TV,52,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
37435,Carole & Tuesday,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
28999,Charlotte,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31553,Charlotte: Tsuyoimono-tachi,Special,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30485,ChäoS;Child,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
4975,ChäoS;HEAd,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
10800,Chihayafuru,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
35821,Chio-chan no Tsuugakuro,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
59,Chobits,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
14741,Chuunibyou demo Koi ga Shitai!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,plan_to_watch,,0,,LOW,,0,0,1,default,0
